gene	protein_class	molecular_action	key_substrates	subcellular	tissues	cell_types	pathways	ko_phenotype	ko_severity	neural_phenotype	cerebellar_evidence	cancer_types	cancer_role	neuro_disease	differentiation_role	one_line_summary
2610028H24Rik	scaffold/adaptor	STAT3 signaling adaptor (forms ternary complex)	STAT3, N-terminal kinase	cytoplasm, nucleus	liver, ubiquitous	hepatocytes, cancer cells	STAT3 signaling, tumorigenesis	NA	NA	NA	NA	hepatocellular carcinoma, neuroblastoma, breast cancer	oncogenic (activates STAT3; promotes sorafenib resistance in HCC)	NA	NA	Human ortholog C21orf58 is an adaptor protein that activates STAT3 signaling by forming a ternary complex; overexpressed and oncogenic in hepatocellular carcinoma.
3110057O12Rik	enzyme	phospholipid deacylase (cardiolipin remodeling)	cardiolipin (CL)	inner mitochondrial membrane	ubiquitous	NA	cardiolipin biosynthesis, mitochondrial lipid metabolism, oxidative phosphorylation	NA	NA	NA	NA	NA	NA	NA	NA	Human ortholog ABHD18 is a mitochondrial alpha/beta-hydrolase that cleaves nascent cardiolipin to generate monolysocardiolipin as a key step in cardiolipin remodeling.
3230401D17Rik	other	NA (antisense lncRNA, likely cis-regulatory)	NA	nucleus	lung, liver	NA	tumor suppression, EGFR resistance	NA	NA	NA	NA	lung cancer, hepatocellular carcinoma, NSCLC	tumor suppressor (OSER1-AS1: downregulated in lung/HCC; promotes gefitinib resistance when upregulated)	NA	NA	Mouse Riken gene corresponding to the human lncRNA locus OSER1-AS1; OSER1-AS1 acts as a tumor suppressor in lung cancer and modulates EGFR-targeted therapy resistance.
4833420G17Rik	other	NA	NA	NA	ubiquitous	NA	immune regulation, tumor microenvironment, STAT3 signaling	NA	NA	NA	NA	lung adenocarcinoma, hepatocellular carcinoma, endometrial carcinoma, cholangiocarcinoma	oncogenic (overexpressed, promotes proliferation; immunosuppressive in tumor microenvironment)	NA	NA	Human ortholog C5orf34 is an evolutionarily conserved protein of unknown function that is overexpressed across multiple cancer types and associated with poor prognosis and immune evasion.
4933421E11Rik	scaffold/adaptor	heterochromatin maintenance, HP1alpha anchoring at centromeres during mitosis	HP1alpha (CBX5), SMCHD1	nucleus, centromere	ubiquitous	NA	heterochromatin organization, centromere integrity, D4Z4 repeat silencing	NA	NA	NA	NA	B-CLL (chromosomal instability context)	NA	FSHD2 (facioscapulohumeral muscular dystrophy type 2)	NA	Human ortholog LRIF1 is a PXVXL-motif heterochromatin protein that anchors HP1alpha at centromeres during mitosis and cooperates with SMCHD1 to silence the D4Z4 repeat; germline LOF causes FSHD2.
6430527G18Rik	transcription factor	transcriptional repression/activation; ubiquitin-mediated proteolysis; SUMO-regulated transcriptional switching	WNT target genes; EGFR-stimulated transcriptional coregulators	nucleus	brain, ubiquitous	neurons, osteosarcoma cells	WNT signaling, EGFR/SUMO signaling, ubiquitin pathway	NEDAMSS (neurodevelopmental disorder with regression, abnormal movements, loss of speech, seizures) from heterozygous LOF	severe	developmental regression, seizures, dystonia, loss of speech, progressive neurodegeneration	NA	osteosarcoma, esophageal squamous cell carcinoma	oncogenic (IRF2BPL promotes malignant phenotypes in ESCC as transcriptional activator)	NEDAMSS, neurodevelopmental/neurodegenerative disorder	NA	Human ortholog IRF2BPL is a zinc-finger transcriptional regulator that suppresses WNT signaling in neurons; heterozygous loss-of-function causes NEDAMSS, a severe neurodevelopmental regression syndrome.
9830001H06Rik	scaffold/adaptor	microtubule stabilization at kinetochores; CLASP-interacting mitotic regulator	CLASP1, CLASP2, microtubules	kinetochore, cytoplasm	ubiquitous	NA	chromosome segregation, mitosis, microtubule dynamics	NA	NA	NA	NA	ovarian cancer, colorectal cancer, breast cancer, hepatocellular carcinoma	oncogenic context (SOGA1 upregulated; METTL16-driven chromosome instability pathway)	NA	NA	Human ortholog SOGA1 interacts with CLASP1/2 at kinetochores during mitosis and plays a role in chromosome segregation and microtubule dynamics.
A830007P12Rik	other	NA	NA	endoplasmic reticulum, membrane	brain, ubiquitous	neurons, glioma cells	Notch signaling (DNER-dependent), lysosomal cholesterol trafficking	NA	NA	NA	NA	glioma	tumor suppressor context (TOR4A, the human ortholog, mediates DNER-dependent growth inhibition in glioma)	Niemann-Pick type C (NPC) disease proteome alteration	NA	Human ortholog TOR4A (Torsin family 4 member A) is a transmembrane ER protein whose expression is regulated by DNER-Notch signaling in glioma and is altered in Niemann-Pick type C disease fibroblasts.
Abhd10	enzyme	acyl-protein thioesterase (S-depalmitoylase); drug glucuronide hydrolase	PRDX5 (mitochondrial S-palmitoylation); mycophenolic acid acyl-glucuronide	mitochondrial matrix	testis, liver, ubiquitous	spermatocytes	mitochondrial antioxidant signaling, S-palmitoylation cycle, drug metabolism	male infertility; abnormal spermatogenesis in Abhd10-null mice	moderate	NA	NA	NA	minimal (pan-cancer bioinformatics associations only)	NA	NA	ABHD10 is a mitochondrial matrix serine hydrolase that depalmitoylates PRDX5 to regulate mitochondrial antioxidant capacity; required for normal spermatogenesis in mice.
Ablim3	scaffold/adaptor	actin-binding scaffold; SRF transcriptional coactivation (via ABRA); cilia biogenesis (actin regulation)	ABRA (actin-binding Rho-activating protein); SRF; F-actin	cytoplasm, cytoskeleton, centrosome	brain, heart, ubiquitous	neurons, dentate granule cells	actin dynamics, SRF/MRTF signaling, ciliogenesis, PKA/cAMP pathway	NA	NA	hippocampal engram cell reactivation reduced (contextual fear memory generalization); implicated in dentate gyrus granule cell function	yes (dentate granule cells; memory encoding)	esophageal adenocarcinoma	upregulated in EAC	NA	NA	ABLIM3 is an actin-binding LIM-domain scaffold that stimulates ABRA-SRF transcriptional activity; expressed in hippocampal dentate granule cells where it may regulate memory encoding and neuronal morphology.
Acd	scaffold/adaptor	telomere protection; recruits POT1 to single-stranded telomeric DNA; enhances telomerase processivity	POT1, TRF1, TRF2, telomerase	telomere/shelterin complex, nucleus	ubiquitous (adrenal cortex, gonad)	stem cells, germ cells	telomere maintenance, DNA damage response, shelterin complex	adrenocortical dysplasia, hypoplastic gonads, infertility, premature aging in hypomorphic mice	severe	NA	NA	melanoma, interstitial lung disease	germline mutations predispose to melanoma; telomere shortening drives lung fibrosis	telomere syndrome (familial ILD, dyskeratosis congenita spectrum), melanoma predisposition	NA	ACD/TPP1 is a core shelterin complex component that recruits POT1 to single-stranded telomeric DNA and enhances telomerase processivity; germline mutations cause telomere syndromes with cancer predisposition.
Acsl3	enzyme	fatty acid activation (long-chain acyl-CoA synthetase)	long-chain fatty acids (myristate, laurate, arachidonate); phosphatidylcholine biosynthesis substrates	ER membrane, lipid droplets, mitochondria-associated membranes	liver, brain, ubiquitous	hepatocytes, glioblastoma cells	fatty acid beta-oxidation, lipogenesis, ferroptosis suppression, VLDL assembly	NA	NA	NA	NA	glioblastoma, hepatocellular carcinoma, breast cancer, multiple myeloma, cholangiocarcinoma, prostate cancer	oncogenic (promotes lipid reprogramming, ferroptosis resistance, tumor growth; synthetic lethal with NF2 loss)	NA	NA	ACSL3 activates long-chain fatty acids to acyl-CoA thioesters, fueling anabolic lipogenesis and suppressing ferroptosis; it is broadly oncogenic across multiple cancer types and synthetic lethal with NF2 loss in Schwann cells.
