gene	protein_class	molecular_action	key_substrates	subcellular	tissues	cell_types	pathways	ko_phenotype	ko_severity	neural_phenotype	cerebellar_evidence	cancer_types	cancer_role	neuro_disease	differentiation_role	one_line_summary
2610029G23Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized RIKEN gene; abstracts link nearby loci to ZDHHC15 (palmitoyl transferase, ASD candidate) and X-chromosome inactivation escape; no direct neural function established for this gene.
2610203C20Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized RIKEN gene with no abstracts provided; embryonic expression peak suggests possible developmental role.
2700060E02Rik	scaffold/adaptor	Component of cytoplasmic mRNA-transporting granules; associates with DDX1 and HSPC117; binds cap analog; co-regulates mRNA translation in neurons	mRNA 5' cap; DDX1; HSPC117; FAM98B	Cytoplasm; dendritic RNA granules	Brain; ubiquitous	Neurons (dendrites); HEK293 cells	mRNA transport; dendritic local translation; translational repression until synaptic signal; cap-dependent translation	NA	NA	Component of dendritic mRNA granules; disruption predicted to impair local synaptic translation	NA	NA	NA	NA	Supports dendritic mRNA localization and local translation during neuronal differentiation	hCLE/RTRAF, a cap-binding scaffold in kinesin-associated dendritic mRNA granules, links DDX1 and HSPC117 to regulate local translation at synapses.
2810030E01Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AML; infant ALL	Co-opted by KMT2A/MLL fusions in leukemogenesis	NA	NA	Uncharacterized RIKEN gene appearing in KMT2A-rearrangement leukemia transcriptomic datasets; no direct neural or cerebellar function established.
3110003A17Rik	scaffold/adaptor	Actin dynamics regulator; promotes cell migration and proliferation; interacts with cofilin/actin machinery; expressed in neural progenitors of SVZ and cortical plate	Actin; cofilin; Rho-GTPase effectors	Cytoplasm; leading edge; nucleus (partial)	Brain (SVZ; cortical plate; developing cortex); multiple epithelial cancers	Dividing neural progenitors (SVZ); cancer epithelial cells	Actin dynamics; cell migration; Rho-GTPase signaling; cell proliferation	NA	NA	Expressed in dividing cells of subpallial SVZ and cortical plate during brain development; depletion impairs migration and proliferation in cancer models	Brain development (SVZ; cortical plate expression documented)	Breast cancer; glioma; gastric cancer; ovarian cancer; esophageal cancer	Oncogene; promotes migration and proliferation	NA	Expressed in neural progenitors during cortical neurogenesis; promotes proliferation and migration	ABRACL, a small actin-binding Rho-activating C-terminal-like protein, is expressed in SVZ neural progenitors during cortical development and acts as an oncogene promoting migration and proliferation in multiple cancers.
3110047P20Rik	scaffold/adaptor	NLR/STAND-family signal transducer; forms prion-like signaling oligomers (signalosomes) to propagate innate immune and cell-death signals	MAVS; ASC; downstream NLR effectors	Cytoplasm; signalosome complexes	CNS neurons; immune cells	Neurons; macrophages; innate immune cells	STAND/NLR innate immune signaling; apoptosis; prion-like signal transduction; neuronal stress response	NA	NA	Expressed in CNS neurons mediating stress or immune signaling	NA	Lung adenocarcinoma (methylation subgroups)	NA	NA	Prion-like signal amplification in neurons under cellular stress	STAND-domain NLR-family protein that forms prion-like signalosomes in neurons and immune cells to propagate apoptotic and innate immune signals.
3200002M19Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized RIKEN gene with no abstracts; embryonic expression peak at E15; no established function.
4930426D05Rik	other	Non-coding RNA (natural antisense lncRNA to Klhl14)	NA	Nucleus (chromatin-associated)	Intervertebral disc; embryonic axial skeleton	Nucleus pulposus precursors; sclerotome-derived cells	Axial skeleton development; lncRNA-mediated gene regulation	Expression lost in key transcription factor (Pax1/Pax9/Nkx3-2) mutants of IVD development	Moderate	NA	NA	NA	NA	NA	Regulates Klhl14 in embryonic axial skeleton patterning; possible role in neural tube-adjacent tissues	Klhl14as, a natural antisense lncRNA to Klhl14, is expressed in the embryonic intervertebral disc under control of axial skeleton transcription factors; no direct neural function established.
4930444P10Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized RIKEN gene with no abstracts; embryonic expression peak at E15; no known function.
4930452B06Rik	other	Non-coding RNA (lncRNA, CFAP20DC-AS1 antisense)	miR-3614-3p (sponge target)	Nucleus/cytoplasm	Multiple cancer types	Cancer cells; NA for normal tissue	ceRNA / miRNA sponge regulatory axis	NA	NA	NA	NA	Multiple cancers	Down-regulated by ginsenoside Rh2; ceRNA activity	NA	NA	CFAP20DC-AS1-related lncRNA whose expression is suppressed by anticancer ginsenoside Rh2; acts as ceRNA sponging miR-3614-3p; no neural function established.
4930506M07Rik	scaffold/adaptor	Actin-clutch molecule linking F-actin retrograde flow to substrate adhesion; drives axonogenesis and neuronal polarization; regulated by alternative splicing and Sema6A/PlexinA2 repression	F-actin; L1-CAM; substrate adhesion molecules; PlexinA2 (upstream repressor)	Growth cone; axonal shaft; plasma membrane	Brain (cortex; retina; cerebellum); ubiquitous	Axonogenesis; neuronal polarization; growth cone motility; Sema6A-PlexinA2 repulsive axon guidance; EGFR endocytic trafficking	Shtn1 KO: impaired axon formation and RGC neurite development; defective cortical neuron polarization	Moderate–Severe	Defective axon formation; impaired neuronal polarization; aberrant retinal ganglion cell neurite development; role in cortical axonogenesis	Expressed in cerebellum; implicated in axon guidance relevant to cerebellar circuit wiring	Thyroid cancer	NA	NA	Drives axonogenesis during early neuron differentiation; regulated by splicing and guidance cues	Shootin1 (SHTN1), an actin-clutch scaffold linking F-actin flow to substrate adhesion at growth cones, is required for axonogenesis and neuronal polarization and is transcriptionally repressed by Sema6A-PlexinA2 repulsive guidance signaling.
4930555F03Rik	other	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Uncharacterized RIKEN gene identified in testicular aging transcriptomics; no neural or cerebellar function reported.
