gene	protein_class	molecular_action	key_substrates	subcellular	tissues	cell_types	pathways	ko_phenotype	ko_severity	neural_phenotype	cerebellar_evidence	cancer_types	cancer_role	neuro_disease	differentiation_role	one_line_summary
Amica1	adhesion molecule	mediates leukocyte transmigration and homotypic cell adhesion via JAM-family interactions	CXADR (Coxsackievirus and adenovirus receptor)	plasma membrane, tight junctions	immune tissues, lung, blood	leukocytes, neutrophils, T cells	JAM-family adhesion signaling, immune cell transmigration	NA	unknown	NA	NA	lung adenocarcinoma, head and neck squamous cell carcinoma	biomarker only	NA	NA	AMICA1 (also known as JAML) is a JAM-family adhesion molecule mediating leukocyte transmigration through endothelial barriers; it shows altered expression in lung adenocarcinoma and is a blood-specific mRNA biomarker.
D8Ertd82e	kinase	scaffold/pseudokinase that regulates cell morphology and tyrosine kinase signaling via condensate formation	14-3-3 proteins, tyrosine kinase pathway components	cytoplasm, pseudopodium	broadly expressed; liver, colon	epithelial cells	tyrosine kinase signaling, cytoskeletal regulation	NA	unknown	NA	NA	colorectal cancer, biliary atresia (liver fibrosis context)	oncogene	NA	NA	D8Ertd82e encodes PRAG1 (PEAK2), a PEAK-family pseudokinase that forms dynamic condensates to regulate cell morphology and growth-adhesion signaling; high expression is associated with poor prognosis in colorectal cancer.
9930013L23Rik	enzyme	hyaluronidase that degrades hyaluronan ECM; promotes cell migration	hyaluronan (HA)	extracellular, plasma membrane	dermis, bone/bone marrow, brain (oligodendrocytes), orbital tissue	fibroblasts, oligodendrocyte progenitors, cancer cells	hyaluronan turnover, ECM remodeling, TGF-beta signaling	NA	unknown	inhibition of OPC maturation into myelinating oligodendrocytes (via HA fragments)	evidence in CNS demyelination/remyelination	medulloblastoma (bioinformatic association), multiple cancers	oncogene	multiple sclerosis / demyelinating disease	NA	9930013L23Rik encodes CEMIP (HYBID), a hyaluronidase that degrades high-molecular-weight hyaluronan to generate pro-inflammatory fragments; elevated CEMIP promotes cancer invasion and metastasis and inhibits CNS remyelination by blocking OPC maturation.
Gm9899	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	Gm9899 is a predicted gene with no description or abstracts available.
H2-Q5	other	nonclassical MHC class Ib molecule presenting peptides to immune cells	peptide antigens	plasma membrane	immune-privileged tissues, tumors	NA	MHC/antigen presentation, immune suppression	NA	unknown	NA	NA	tumors (expression observed)	biomarker only	NA	NA	H2-Q5 is a mouse nonclassical MHC class Ib molecule whose expression has been detected in tumors and immune-privileged sites, potentially functioning analogously to human HLA-G as an immune suppressor.
1700022P22Rik	other	NA	NA	NA	testes	NA	NA	knockout males are infertile (testis-enriched gene screen)	viable	NA	NA	NA	none	NA	NA	1700022P22Rik is a testis-enriched gene whose knockout was identified in a CRISPR screen for male fertility genes; it has also appeared in bioinformatic analyses of T-ALL but lacks direct functional characterization.
9630041A04Rik	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	9630041A04Rik is an uncharacterized RIKEN gene with no description or abstracts available.
9630013D21Rik	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	9630013D21Rik is an uncharacterized gene with no description or abstracts available.
Mfsd4	transporter	orphan major facilitator superfamily transporter with unknown substrate	unknown	plasma membrane	kidney, brain, broadly	NA	NA	NA	unknown	NA	NA	gastric cancer (hepatic metastasis biomarker)	biomarker only	NA	NA	Mfsd4 (MFSD4A) is an orphan MFS-superfamily solute carrier with unknown substrate; it was identified as a candidate biomarker for hepatic metastasis in gastric cancer but its transport function and physiological role remain uncharacterized.
Olfr767	GPCR	olfactory receptor that detects odorant molecules	odorant ligands (unknown)	plasma membrane, cilia	olfactory epithelium	olfactory sensory neurons	olfactory signal transduction, cAMP signaling	NA	unknown	NA	NA	prostate cancer (genomic screen only)	biomarker only	NA	NA	Olfr767 is a mouse olfactory receptor with no direct functional characterization; it appears only in genomic/bioinformatic screens and has no established non-olfactory role.
Gm10118	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	Gm10118 is a predicted gene with no description or abstracts available.
3830431G21Rik	other	NA	NA	NA	brain	neurons	NA	associated with intellectual disability and congenital anomalies in chromosome 14q24 deletion patients	unknown	intellectual disability	NA	NA	none	intellectual disability, major depressive disorder (methylation association), schizophrenia (CNV association)	NA	3830431G21Rik maps within a rare 14q24.1-q24.3 deletion region associated with mild intellectual disability and congenital anomalies; it also appears in schizophrenia CNV and depression methylation studies but lacks direct functional data.
1700084C01Rik	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	1700084C01Rik is an uncharacterized RIKEN gene with no abstracts available.
Fam189a2	scaffold/adaptor	activates ITCH (HECT ubiquitin E3 ligase) by relieving autoinhibition; functions as transmembrane structural protein	ITCH (HECT E3 ligase)	plasma membrane, cytoplasm	lung, breast	epithelial cells	ubiquitin-proteasome pathway, Wnt/Hippo (ITCH substrates)	NA	unknown	NA	NA	lung adenocarcinoma, breast cancer	tumor suppressor	NA	involved in pluripotency reprogramming screen	FAM189A2 is a transmembrane protein that acts as a novel activator of the ITCH ubiquitin E3 ligase by relieving its autoinhibition; it is downregulated in breast and lung cancers and functions as a tumor suppressor.
Gm7276	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	Gm7276 is a predicted gene with no description or abstracts available.
Gm5859	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	Gm5859 is a predicted gene with no description or abstracts available.
Gm1332	other	TLDc domain-containing protein; interacts with V-ATPase and provides oxidative stress protection	V-ATPase (vacuolar ATPase)	nucleus/cytoplasm	kidney (collecting duct), brain	intercalated cells, neurons	V-ATPase regulation, oxidative stress response	NA	unknown	NA	NA	NA	none	neurological disease (TLDc family associated with neurological conditions)	NA	Gm1332 (likely Tldc1 or Tldc2) encodes a TLDc domain-containing protein that interacts with the proton-pumping V-ATPase and belongs to a family implicated in oxidative stress protection and neurological health.
B930041F14Rik	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	B930041F14Rik is an uncharacterized RIKEN gene with no abstracts available.
E530001K10Rik	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	E530001K10Rik is an uncharacterized gene with no description or abstracts available.
Scn2a1	ion channel	voltage-gated sodium channel Nav1.2; generates action potential upstroke in neurons	sodium ions	plasma membrane, axon initial segment	brain (cortex, cerebellum, hippocampus)	excitatory neurons, cortical pyramidal neurons	voltage-gated sodium channel signaling, neuronal excitability	loss-of-function: ASD, intellectual disability, hypotonia; gain-of-function: early-onset epileptic encephalopathy	viable (severe neurological phenotype)	autism spectrum disorder, epilepsy, intellectual disability, episodic ataxia	expressed and functionally important in cerebellar circuits; episodic ataxia phenotype	hepatocellular carcinoma (expression only)	biomarker only	autism spectrum disorder, epileptic encephalopathy, episodic ataxia	NA	SCN2A1 encodes Nav1.2, a voltage-gated sodium channel critical for neuronal excitability; de novo loss-of-function mutations cause ASD and intellectual disability while gain-of-function mutations cause early-onset epileptic encephalopathy with severe outcomes.
6330403L08Rik	other	NA	NA	NA	heart	cardiomyocytes	NA	NA	unknown	NA	NA	NA	none	hypertrophic cardiomyopathy (lncRNA expression association)	NA	6330403L08Rik is a putative lncRNA identified as differentially expressed in a mouse model of hypertrophic cardiomyopathy, with no direct functional characterization.
Trav3-1	other	T cell receptor alpha chain variable region; mediates antigen recognition	MHC-peptide complexes	plasma membrane	thymus, peripheral lymphoid tissue	T cells	TCR signaling, adaptive immune response	NA	unknown	NA	NA	NA	none	NA	NA	Trav3-1 encodes a T cell receptor alpha chain variable region segment used in antigen recognition; it appears in TCR repertoire studies of EBV infection and metal allergy but has no independent gene-level function.
Gm4070	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	Gm4070 is a predicted gene with no description or abstracts available.
Gm12394	other	NA	NA	NA	testes	spermatogenic cells	NA	associated with non-obstructive azoospermia (GWAS association)	unknown	NA	NA	melanoma (genomic screen)	biomarker only	NA	NA	Gm12394 is a predicted gene with bioinformatic associations to non-obstructive azoospermia and acral melanoma but no direct functional characterization.
Prkcc	kinase	serine/threonine protein kinase C gamma; phosphorylates substrates in PKC signaling	MAPK pathway components, synaptic proteins; activated by DAG and calcium	plasma membrane, cytoplasm, nucleus	brain (cerebellum predominantly), spinal cord	Purkinje cells, neurons	PKC signaling, MAPK pathway, calcium signaling	SCA14: cerebellar degeneration, ataxia; Prkcc knockout mice show altered postural control	viable	spinocerebellar ataxia type 14 (SCA14): cerebellar degeneration, dysarthria, nystagmus	direct and primary role in Purkinje cell function and cerebellar ataxia	NA	none	spinocerebellar ataxia type 14 (SCA14)	NA	PRKCC (PKCgamma) is a neuron-enriched serine/threonine kinase predominantly expressed in cerebellar Purkinje cells; gain-of-function mutations cause spinocerebellar ataxia type 14 (SCA14) through toxic PKCgamma aggregation and aberrant signaling.
2210403K04Rik	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	2210403K04Rik is an uncharacterized gene with no description or abstracts available.
6720401G13Rik	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	6720401G13Rik is an uncharacterized gene with no description or abstracts available.
(blank)	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	This entry has no gene symbol or description and no abstracts; it cannot be annotated.
A530084C06Rik	other	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	none	NA	NA	A530084C06Rik is an uncharacterized RIKEN gene with no abstracts available.
