"ensembl_gene_id","mgi_symbol","hg_ensembl_gene_id","hgnc_symbol","description","max_cat","t50_cat","group_1","group_2","avg_max","avg_min","avg_fc","avg_t50","H3K27me3_bin","H3K27me3","H3K4me3_bin","H3K4me3"
"ENSMUSG00000033400","Agl","ENSG00000162688","AGL","amylo-1,6-glucosidase, 4-alpha-glucanotransferase [Source:MGI Symbol;Acc:MGI:1924809]","unchanged","Mid","Cell cycle","Cell cycle",1,28,0.8265377,15.06336,0,0.18264850816142,1,0.661334641496756
"ENSMUSG00000040407","Akap9","ENSG00000127914","AKAP9","A kinase (PRKA) anchor protein (yotiao) 9 [Source:MGI Symbol;Acc:MGI:2178217]","unchanged","Mid","Cell cycle","Cell cycle",1,63,0.3406411,9.109099,0,0.234201732961885,1,0.785946162109076
"ENSMUSG00000028291","Akirin2","ENSG00000135334","AKIRIN2","akirin 2 [Source:MGI Symbol;Acc:MGI:1889364]","unchanged","Mid","Cell cycle","Cell cycle",1,63,0.7974325,8.95914,0,0.163174318254387,1,0.779146700015534
"ENSMUSG00000041718","Alg13","ENSG00000101901","ALG13","asparagine-linked glycosylation 13 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914824]","P0_7","Early","Cell cycle","Cell cycle",8,1,1.350061,4.996212,0,0.199050495238287,1,0.674466399524938
"ENSMUSG00000022244","Amacr","ENSG00000242110","AMACR","alpha-methylacyl-CoA racemase [Source:MGI Symbol;Acc:MGI:1098273]","unchanged","Mid","Cell cycle","Cell cycle",1,14,0.4627153,9.775132,0,0.112459973961713,1,0.604269787777163
"ENSMUSG00000040506","Ambra1","ENSG00000110497","AMBRA1","autophagy/beclin 1 regulator 1 [Source:MGI Symbol;Acc:MGI:2443564]","unchanged","Early","Cell cycle","Cell cycle",1,8,0.5717748,5.913343,0,0.189777314677407,1,0.706759779932401
"ENSMUSG00000075232","Amd1","ENSG00000123505","AMD1","S-adenosylmethionine decarboxylase 1 [Source:MGI Symbol;Acc:MGI:88004]","unchanged","Mid","Cell cycle","Cell cycle",22,1,0.2670228,7.56501,0,0.184514417873057,1,0.783978440165663
"ENSMUSG00000063953","Amd2","ENSG00000123505","AMD1","S-adenosylmethionine decarboxylase 2 [Source:MGI Symbol;Acc:MGI:1333111]","unchanged","Early","Cell cycle","Cell cycle",6,1,1.129406,4.5,0,0.100213579541227,0,0.26480260060386
"ENSMUSG00000036777","Anln","ENSG00000011426","ANLN","anillin, actin binding protein [Source:MGI Symbol;Acc:MGI:1920174]","P0_7","Mid","Cell cycle","Cell cycle",14,1,1.507964,6.349711,0,0.200214076545192,1,0.741398133749447
"ENSMUSG00000078651","Aoc2","ENSG00000131480","AOC2","amine oxidase, copper containing 2 (retina-specific) [Source:MGI Symbol;Acc:MGI:2668431]","unchanged","Mid","Cell cycle","Cell cycle",1,19,0.4955344,6.572577,0,0.107567517114843,0,0.305665707372087
"ENSMUSG00000004931","Apba3","ENSG00000011132","APBA3","amyloid beta (A4) precursor protein-binding, family A, member 3 [Source:MGI Symbol;Acc:MGI:1888527]","unchanged","Mid","Cell cycle","Cell cycle",63,1,0.4122164,12.6379,0,0.166218096005234,1,0.673890839638791
"ENSMUSG00000029207","Apbb2","ENSG00000163697","APBB2","amyloid beta (A4) precursor protein-binding, family B, member 2 [Source:MGI Symbol;Acc:MGI:108405]","unchanged","Mid","Cell cycle","Cell cycle",1,14,0.8494502,7.547162,0,0.216688188629858,1,0.769040307621281
"ENSMUSG00000079508","Apoo","ENSG00000184831","APOO","apolipoprotein O [Source:MGI Symbol;Acc:MGI:1915566]","unchanged","Mid","Cell cycle","Cell cycle",1,63,1.469205,13.74652,1,0.489874251103795,1,0.678899582201551
"ENSMUSG00000037148","Arhgap10","ENSG00000071205","ARHGAP10","Rho GTPase activating protein 10 [Source:MGI Symbol;Acc:MGI:1925764]","P14_P56","Mid","Cell cycle","Cell cycle",63,1,1.298799,13.91034,0,0.230941826667285,1,0.733295489830183
"ENSMUSG00000036591","Arhgap21","ENSG00000107863","ARHGAP21","Rho GTPase activating protein 21 [Source:MGI Symbol;Acc:MGI:1918685]","P14_P56","Mid","Cell cycle","Cell cycle",25,7,1.011653,14.99784,0,0.255230184727908,1,0.875623359926285
"ENSMUSG00000036452","Arhgap26","ENSG00000145819","ARHGAP26","Rho GTPase activating protein 26 [Source:MGI Symbol;Acc:MGI:1918552]","P14_P56","Mid","Cell cycle","Cell cycle",25,1,2.630156,12.15405,1,0.313840586724408,1,0.712486001742249
"ENSMUSG00000035133","Arhgap5","ENSG00000100852","ARHGAP5","Rho GTPase activating protein 5 [Source:MGI Symbol;Acc:MGI:1332637]","unchanged","Mid","Cell cycle","Cell cycle",19,1,0.9755519,7.47211,0,0.198664175022048,1,0.77427806461141
"ENSMUSG00000004562","Arhgef40","ENSG00000165801","ARHGEF40","Rho guanine nucleotide exchange factor (GEF) 40 [Source:MGI Symbol;Acc:MGI:2685515]","unchanged","Mid","Cell cycle","Cell cycle",1,63,0.3696171,12.55416,0,0.205198061548449,1,0.721743003898162
"ENSMUSG00000059811","Atl2","ENSG00000119787","ATL2","atlastin GTPase 2 [Source:MGI Symbol;Acc:MGI:1929492]","P14_P56","Mid","Cell cycle","Cell cycle",22,1,1.231249,10.57661,1,0.389785462885583,1,0.786072810834148
"ENSMUSG00000019943","Atp2b1","ENSG00000070961","ATP2B1","ATPase, Ca++ transporting, plasma membrane 1 [Source:MGI Symbol;Acc:MGI:104653]","P14_P56","Mid","Cell cycle","Cell cycle",25,1,1.675912,12.90448,0,0.229937483863172,1,0.852703502555759
"ENSMUSG00000046876","Atxn1","ENSG00000124788","ATXN1","ataxin 1 [Source:MGI Symbol;Acc:MGI:104783]","P14_P56","Mid","Cell cycle","Cell cycle",63,1,3.19248,17.42767,1,0.442109401157464,1,0.790216112442016
"ENSMUSG00000059995","Atxn7l3","ENSG00000087152","ATXN7L3","ataxin 7-like 3 [Source:MGI Symbol;Acc:MGI:3036270]","unchanged","Early","Cell cycle","Cell cycle",1,22,0.8364927,4.83501,1,0.287396607543899,1,0.779178969991555
"ENSMUSG00000018821","Avpi1","ENSG00000119986","AVPI1","arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784]","P14_P56","Mid","Cell cycle","Cell cycle",21,8,1.07785099381633,17.386926839151,1,0.271731876303485,1,0.618587654103935
"ENSMUSG00000037750","BC017647","ENSG00000173065","FAM222B","cDNA sequence BC017647 [Source:MGI Symbol;Acc:MGI:2384939]","unchanged","Early","Cell cycle","Cell cycle",1,8,0.689166,5.051627,0,0.215884229915341,1,0.701860936559912
"ENSMUSG00000036568","BC032203","ENSG00000112624","BICRAL","cDNA sequence BC032203 [Source:MGI Symbol;Acc:MGI:2673855]","P14_P56","Mid","Cell cycle","Cell cycle",25,1,1.296241,15.03275,0,0.16545690842742,0,0.286049166418589
"ENSMUSG00000036864","BC053749","ENSG00000167595","PROSER3","cDNA sequence BC053749 [Source:MGI Symbol;Acc:MGI:2681861]","unchanged","Mid","Cell cycle","Cell cycle",1,28,0.9012506,16.79812,0,0.194340602213973,1,0.667125057347366
"ENSMUSG00000030847","Bag3","ENSG00000151929","BAG3","BCL2-associated athanogene 3 [Source:MGI Symbol;Acc:MGI:1352493]","P14_P56","Mid","Cell cycle","Cell cycle",63,1,2.880757,7.816005,1,0.384300047250001,1,0.571225335021652
"ENSMUSG00000028782","Bai2","ENSG00000121753","ADGRB2","brain-specific angiogenesis inhibitor 2 [Source:MGI Symbol;Acc:MGI:2451244]","P14_P56","Mid","Cell cycle","Cell cycle",25,6,2.05277,16.84254,1,0.473777879036193,1,0.818166553744677
"ENSMUSG00000024232","Bambi","ENSG00000095739","BAMBI","BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis) [Source:MGI Symbol;Acc:MGI:1915260]","P14_P56","Mid","Cell cycle","Cell cycle",63,1,2.687105,6.296235,0,0.181492628402729,1,0.690412520530226
"ENSMUSG00000028121","Bcar3","ENSG00000137936","BCAR3","breast cancer anti-estrogen resistance 3 [Source:MGI Symbol;Acc:MGI:1352501]","P14_P56","Mid","Cell cycle","Cell cycle",21,1,1.523559,6.915311,1,0.295388693459668,1,0.67114086532699
"ENSMUSG00000014329","Bicc1","ENSG00000122870","BICC1","bicaudal C homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1933388]","P0_7","Early","Cell cycle","Cell cycle",8,1,2.206249,5.413934,1,0.386239575456074,1,0.647379875629831
"ENSMUSG00000024073","Birc6","ENSG00000115760","BIRC6","baculoviral IAP repeat-containing 6 [Source:MGI Symbol;Acc:MGI:1276108]","unchanged","Mid","Cell cycle","Cell cycle",28,1,0.9276429,16.90245,0,0.205331337653011,1,0.776715590425003
"ENSMUSG00000027358","Bmp2","ENSG00000125845","BMP2","bone morphogenetic protein 2 [Source:MGI Symbol;Acc:MGI:88177]","unexpressed","Mid","Cell cycle","Cell cycle",21,6,0.8223456,15.23572,1,0.557121736888254,1,0.644550698689521
"ENSMUSG00000052430","Bmpr1b","ENSG00000138696","BMPR1B","bone morphogenetic protein receptor, type 1B [Source:MGI Symbol;Acc:MGI:107191]","P0_7","Early","Cell cycle","Cell cycle",8,1,1.356462,5.352652,1,0.299446692159981,1,0.700732341207575
"ENSMUSG00000067336","Bmpr2","ENSG00000204217","BMPR2","bone morphogenic protein receptor, type II (serine/threonine kinase) [Source:MGI Symbol;Acc:MGI:1095407]","unchanged","Mid","Cell cycle","Cell cycle",25,1,0.8748363,13.83403,0,0.224950229184897,1,0.830730803064793
"ENSMUSG00000024002","Brd4","ENSG00000141867","BRD4","bromodomain containing 4 [Source:MGI Symbol;Acc:MGI:1888520]","unchanged","Mid","Cell cycle","Cell cycle",28,6,0.4496399,11.21639,0,0.197134641016447,1,0.784595213577456
"ENSMUSG00000003344","Btbd2","ENSG00000133243","BTBD2","BTB (POZ) domain containing 2 [Source:MGI Symbol;Acc:MGI:1933831]","unchanged","Early","Cell cycle","Cell cycle",1,14,0.92313454863224,4.91665855994692,0,0.187260137277963,1,0.705785678512558
"ENSMUSG00000002803","Btbd6","ENSG00000184887","BTBD6","BTB (POZ) domain containing 6 [Source:MGI Symbol;Acc:MGI:3026623]","unchanged","Early","Cell cycle","Cell cycle",1,8,0.8707032,4.769964,0,0.184805705665343,1,0.66052089938418
"ENSMUSG00000069237","C78339","ENSG00000137414","FAM8A1","expressed sequence C78339 [Source:MGI Symbol;Acc:MGI:2145496]","unchanged","Early","Cell cycle","Cell cycle",1,6,0.3944501,4.5,0,0.177271490946911,1,0.727694871317511
"ENSMUSG00000036438","Calm2","ENSG00000143933","CALM2","calmodulin 2 [Source:MGI Symbol;Acc:MGI:103250]","unchanged","Early","Cell cycle","Cell cycle",1,8,0.7220723,5.096582,0,0.235680063928349,1,0.856707717544721
"ENSMUSG00000018666","Cbx1","ENSG00000108468","CBX1","chromobox homolog 1 (Drosophila HP1 beta) [Source:MGI Symbol;Acc:MGI:105369]","unchanged","Mid","Cell cycle","Cell cycle",1,25,0.8910648,15.97593,0,0.192034695805773,1,0.727546740050891
"ENSMUSG00000009647","Ccdc109a","ENSG00000156026","MCU","coiled-coil domain containing 109A [Source:MGI Symbol;Acc:MGI:3026965]","unchanged","Mid","Cell cycle","Cell cycle",21,1,0.586248,15.53943,1,0.274697715659656,1,0.742924267396353
"ENSMUSG00000071855","Ccdc112","ENSG00000164221","CCDC112","coiled-coil domain containing 112 [Source:MGI Symbol;Acc:MGI:1918800]","E15","Mid","Cell cycle","Cell cycle",1,63,1.913381,16.6706,1,0.310124118221072,1,0.674101054490961
"ENSMUSG00000004994","Ccdc130","ENSG00000104957","YJU2B","coiled-coil domain containing 130 [Source:MGI Symbol;Acc:MGI:1914986]","unchanged","Early","Cell cycle","Cell cycle",1,63,1.10469473934649,5.87440679327373,0,0.172082636216094,1,0.606571915440232
"ENSMUSG00000091119","Ccdc152","ENSG00000198865","CCDC152","coiled-coil domain containing 152 [Source:MGI Symbol;Acc:MGI:3641617]","P14_P56","Early","Cell cycle","Cell cycle",21,1,4.189629,5.406425,0,0.193544669422218,0,0.285481165396245
"ENSMUSG00000056531","Ccdc18","ENSG00000122483","CCDC18","coiled-coil domain containing 18 [Source:MGI Symbol;Acc:MGI:1922974]","P0_7","Early","Cell cycle","Cell cycle",8,1,1.318822,4.887013,0,0.184682838691772,1,0.734292479471072
"ENSMUSG00000028795","Ccdc28b","ENSG00000160050","CCDC28B","coiled coil domain containing 28B [Source:MGI Symbol;Acc:MGI:1913514]","unchanged","Early","Cell cycle","Cell cycle",1,8,0.9164377,5.204279,0,0.220872036275695,1,0.650880592570387
"ENSMUSG00000047810","Ccdc88b","ENSG00000168071","CCDC88B","coiled-coil domain containing 88B [Source:MGI Symbol;Acc:MGI:1925567]","P14_P56","Mid","Cell cycle","Cell cycle",63,6,1.151414,9.360255,0,0.21195262754042,0,0.376900298279455
"ENSMUSG00000042417","Ccno","ENSG00000152669","CCNO","cyclin O [Source:MGI Symbol;Acc:MGI:2145534]","P0_7","Early","Cell cycle","Cell cycle",8,1,2.30591,5.054871,1,0.563479960572461,1,0.704682897211053
"ENSMUSG00000046186","Cd109","ENSG00000156535","CD109","CD109 antigen [Source:MGI Symbol;Acc:MGI:2445221]","P0_7","Mid","Cell cycle","Cell cycle",6,21,1.115305,14.53615,0,0.176337835340136,1,0.626059232253438
"ENSMUSG00000061665","Cd2ap","ENSG00000198087","CD2AP","CD2-associated protein [Source:MGI Symbol;Acc:MGI:1330281]","P0_7","Early","Cell cycle","Cell cycle",8,1,1.257147,5.285238,0,0.246652499325592,1,0.745307144687869
"ENSMUSG00000002885","Cd97","ENSG00000123146","ADGRE5","CD97 antigen [Source:MGI Symbol;Acc:MGI:1347095]","P14_P56","Early","Cell cycle","Cell cycle",21,1,1.935513,5.822548,1,0.396554361059835,1,0.520447509316692
"ENSMUSG00000026490","Cdc42bpa","ENSG00000143776","CDC42BPA","CDC42 binding protein kinase alpha [Source:MGI Symbol;Acc:MGI:2441841]","unchanged","Mid","Cell cycle","Cell cycle",25,1,0.9027131,13.63966,0,0.223742347165344,1,0.812220230336036
"ENSMUSG00000041598","Cdc42ep4","ENSG00000179604","CDC42EP4","CDC42 effector protein (Rho GTPase binding) 4 [Source:MGI Symbol;Acc:MGI:1929760]","E15","Mid","Cell cycle","Cell cycle",1,22,1.29026,9.555038,0,0.23107617795601,1,0.733737355505718
"ENSMUSG00000033862","Cdk10","ENSG00000185324","CDK10","cyclin-dependent kinase 10 [Source:MGI Symbol;Acc:MGI:2448549]","E15","Mid","Cell cycle","Cell cycle",1,28,1.663352,7.891384,0,0.17330436739845,1,0.667103229703884
"ENSMUSG00000039298","Cdk5rap2","ENSG00000136861","CDK5RAP2","CDK5 regulatory subunit associated protein 2 [Source:MGI Symbol;Acc:MGI:2384875]","unchanged","Early","Cell cycle","Cell cycle",14,1,0.9271372,5.923638,0,0.235590752487925,1,0.729476463139645
"ENSMUSG00000068740","Celsr2","ENSG00000143126","CELSR2","cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila) [Source:MGI Symbol;Acc:MGI:1858235]","P14_P56","Mid","Cell cycle","Cell cycle",25,1,1.774808,12.82149,1,0.345606860964475,1,0.829136384924353
"ENSMUSG00000057110","Cep110","ENSG00000119397","CNTRL","centrosomal protein 110 [Source:MGI Symbol;Acc:MGI:1889576]","P0_7","Early","Cell cycle","Cell cycle",14,1,1.248817,5.618117,0,0.186174331308878,1,0.6964075629875
"ENSMUSG00000035891","Cerk","ENSG00000100422","CERK","ceramide kinase [Source:MGI Symbol;Acc:MGI:2386052]","P14_P56","Mid","Cell cycle","Cell cycle",63,1,2.355359,17.05079,1,0.387040331664475,1,0.750664560469846
"ENSMUSG00000057133","Chd6","ENSG00000124177","CHD6","chromodomain helicase DNA binding protein 6 [Source:MGI Symbol;Acc:MGI:1918639]","unchanged","Mid","Cell cycle","Cell cycle",28,1,0.6556605,9.550819,0,0.191130815980583,1,0.768060574557117
"ENSMUSG00000001774","Chordc1","ENSG00000110172","CHORDC1","cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1 [Source:MGI Symbol;Acc:MGI:1914167]","unchanged","Mid","Cell cycle","Cell cycle",1,25,1.13138700033234,17.0102967652935,0,0.165582965409668,1,0.71218919870815
"ENSMUSG00000060002","Chpt1","ENSG00000111666","CHPT1","choline phosphotransferase 1 [Source:MGI Symbol;Acc:MGI:2384841]","P14_P56","Mid","Cell cycle","Cell cycle",63,1,2.758438,6.662346,0,0.197539656627297,1,0.679627943017685
"ENSMUSG00000029516","Cit","ENSG00000122966","CIT","citron [Source:MGI Symbol;Acc:MGI:105313]","P14_P56","Mid","Cell cycle","Cell cycle",63,1,1.516834,17.0163,0,0.191874119384086,1,0.595226867647119
"ENSMUSG00000061028","Clasrp","ENSG00000104859","CLASRP","CLK4-associating serine/arginine rich protein [Source:MGI Symbol;Acc:MGI:1855695]","unchanged","Mid","Cell cycle","Cell cycle",14,6,0.3934391,8.840173,0,0.176818488547617,1,0.668062903735645
"ENSMUSG00000027884","Clcc1","ENSG00000121940","CLCC1","chloride channel CLIC-like 1 [Source:MGI Symbol;Acc:MGI:2385186]","unchanged","Mid","Cell cycle","Cell cycle",63,1,0.4091492,17.48109,0,0.206167202055166,1,0.663601450219469
"ENSMUSG00000063146","Clip2","ENSG00000106665","CLIP2","CAP-GLY domain containing linker protein 2 [Source:MGI Symbol;Acc:MGI:1313136]","E15","Mid","Cell cycle","Cell cycle",1,22,1.256321,14.73644,0,0.220498725440766,1,0.765470644046158
"ENSMUSG00000038949","Cnst","ENSG00000162852","CNST","consortin, connexin sorting protein [Source:MGI Symbol;Acc:MGI:2445141]","unchanged","Mid","Cell cycle","Cell cycle",25,7,0.9488546,15.50205,0,0.177444428731563,1,0.744503123539925
"ENSMUSG00000038070","Cntln","ENSG00000044459","CNTLN","centlein, centrosomal protein [Source:MGI Symbol;Acc:MGI:2443104]","P0_7","Early","Cell cycle","Cell cycle",14,1,1.628127,5.823384,0,0.192590316212253,1,0.734415347297494
"ENSMUSG00000029661","Col1a2","ENSG00000164692","COL1A2","collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]","P14_P56","Early","Cell cycle","Cell cycle",28,1,5.77979,5.535496,1,0.291775242400032,1,0.509449944909338
"ENSMUSG00000039914","Coq10a","ENSG00000135469","COQ10A","coenzyme Q10 homolog A (yeast) [Source:MGI Symbol;Acc:MGI:2684847]","unchanged","Mid","Cell cycle","Cell cycle",21,8,0.397059,16.5924,0,0.191355925876738,1,0.672539935862902
"ENSMUSG00000039070","Cpa4","ENSG00000128510","CPA4","carboxypeptidase A4 [Source:MGI Symbol;Acc:MGI:1919041]","unexpressed","Early","Cell cycle","Cell cycle",1,21,0.8990266,5.575021,0,0.123086680512375,0,0.207711023019337
"ENSMUSG00000052955","Cpvl","ENSG00000106066","CPVL","carboxypeptidase, vitellogenic-like [Source:MGI Symbol;Acc:MGI:1918537]","unexpressed","Mid","Cell cycle","Cell cycle",21,1,1.911725,7.949156,0,0.11652681174534,0,0.276872616276418
"ENSMUSG00000004885","Crabp2","ENSG00000143320","CRABP2","cellular retinoic acid binding protein II [Source:MGI Symbol;Acc:MGI:88491]","E15","Mid","Cell cycle","Cell cycle",1,19,4.015946,7.47905,1,0.549425389416574,1,0.519750335020187
"ENSMUSG00000051451","Crebzf","ENSG00000137504","CREBZF","CREB/ATF bZIP transcription factor [Source:MGI Symbol;Acc:MGI:2675296]","unchanged","Mid","Cell cycle","Cell cycle",63,1,0.9971601,8.986518,0,0.190240581520571,1,0.833414270973655
"ENSMUSG00000036356","Csgalnact1","ENSG00000147408","CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:2442354]","P14_P56","Early","Cell cycle","Cell cycle",28,1,3.892331,5.646573,1,0.370590537930414,1,0.612112566525196
"ENSMUSG00000073563","Csnk1g3","ENSG00000151292","CSNK1G3","casein kinase 1, gamma 3 [Source:MGI Symbol;Acc:MGI:1917675]","unchanged","Mid","Cell cycle","Cell cycle",22,1,0.6628095,17.20754,0,0.166887004114365,1,0.752331308246156
"ENSMUSG00000032911","Cspg4","ENSG00000173546","CSPG4","chondroitin sulfate proteoglycan 4 [Source:MGI Symbol;Acc:MGI:2153093]","P14_P56","Early","Cell cycle","Cell cycle",28,1,3.351803,5.928821,1,0.318061360971438,1,0.537801129420615
"ENSMUSG00000003269","Cyth2","ENSG00000105443","CYTH2","cytohesin 2 [Source:MGI Symbol;Acc:MGI:1334255]","E15","Mid","Cell cycle","Cell cycle",1,63,1.352993,8.03917,0,0.189012541793,1,0.745837436232199
