"ensembl_gene_id","mgi_symbol","hg_ensembl_gene_id","hgnc_symbol","description","max_cat","t50_cat","group_1","group_2","avg_max","avg_min","avg_fc","avg_t50","H3K27me3_bin","H3K27me3","H3K4me3_bin","H3K4me3"
"ENSMUSG00000043168","4930426D05Rik",NA,NA,NA,"E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,2.288704,6.653379,1,0.519498581335345,1,0.650136907920626
"ENSMUSG00000067795","4930444P10Rik","ENSG00000274443","C8orf89","RIKEN cDNA 4930444P10 gene [Source:MGI Symbol;Acc:MGI:1923049]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,2.629755,7.746196,0,0.194948683855587,1,0.51475542866152
"ENSMUSG00000021747","4930452B06Rik","ENSG00000163689","CFAP20DC","RIKEN cDNA 4930452B06 gene [Source:MGI Symbol;Acc:MGI:1926154]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.428325,24.11301,0,0.216430623077002,1,0.586131268198074
"ENSMUSG00000041362","4930506M07Rik","ENSG00000187164","SHTN1","RIKEN cDNA 4930506M07 gene [Source:MGI Symbol;Acc:MGI:1918903]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,3.760818,10.77346,1,0.414115971118083,1,0.632453334414169
"ENSMUSG00000031559","4930555F03Rik",NA,NA,"RIKEN cDNA 4930555F03 gene [Source:MGI Symbol;Acc:MGI:1922609]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.423851,6.711605,0,0.108719719863952,0,0.150391806325269
"ENSMUSG00000037161","4930583H14Rik","ENSG00000137463","MGARP","RIKEN cDNA 4930583H14 gene [Source:MGI Symbol;Acc:MGI:1914999]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.952792,10.9181,1,0.353346626814041,1,0.489175750243506
"ENSMUSG00000014837","4931428F04Rik","ENSG00000196123","MATCAP1","RIKEN cDNA 4931428F04 gene [Source:MGI Symbol;Acc:MGI:1921606]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.83017471113442,20.3873647104924,1,0.281307131451257,1,0.67856450985343
"ENSMUSG00000034390","4933407C03Rik","ENSG00000153815","CMIP","RIKEN cDNA 4933407C03 gene [Source:MGI Symbol;Acc:MGI:1921690]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.006714,24.68626,1,0.26711988750907,1,0.811823794180583
"ENSMUSG00000016495","5033414D02Rik","ENSG00000107020","PLGRKT","RIKEN cDNA 5033414D02 gene [Source:MGI Symbol;Acc:MGI:1915009]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.757286,22.31056,0,0.169386968340804,1,0.627197798619072
"ENSMUSG00000040412","5330417C22Rik","ENSG00000116299","ELAPOR1","RIKEN cDNA 5330417C22 gene [Source:MGI Symbol;Acc:MGI:1923930]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.055055,7.514646,1,0.383278560824376,1,0.575019829121666
"ENSMUSG00000046610","5330437I02Rik",NA,NA,"RIKEN cDNA 5330437I02 gene [Source:MGI Symbol;Acc:MGI:2442915]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,2.725179,5.635976,0,0.166398115524026,0,0.319248351940738
"ENSMUSG00000044364","5430405G05Rik","ENSG00000125895","TMEM74B","RIKEN cDNA 5430405G05 gene [Source:MGI Symbol;Acc:MGI:1918629]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,2.428141,7.169572,1,0.438478972887701,1,0.650542831070413
"ENSMUSG00000073197","5730507C01Rik",NA,NA,"RIKEN cDNA 5730507C01 gene [Source:MGI Symbol;Acc:MGI:1917882]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,2.182718,5.395517,0,0.0763098296109462,0,0.10838733888436
"ENSMUSG00000072591","5930412G12Rik",NA,NA,NA,"E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,2.6145,7.836634,1,0.544844188969368,1,0.735585815482288
"ENSMUSG00000048668","5930416I19Rik","ENSG00000171792","RHNO1","RIKEN cDNA 5930416I19 gene [Source:MGI Symbol;Acc:MGI:1915315]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.374027,17.5625,0,0.246406549229735,1,0.774769442742621
"ENSMUSG00000056306","6030405A18Rik","ENSG00000180440","SERTM1","RIKEN cDNA 6030405A18 gene [Source:MGI Symbol;Acc:MGI:3607715]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.656658,7.34439,1,0.39559607299586,1,0.610649973320427
"ENSMUSG00000018451","6330403K07Rik","ENSG00000286190","",NA,"E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,4.52969,19.81027,0,0.19665258235229,1,0.690636579365735
"ENSMUSG00000029659","6330406I15Rik","ENSG00000102802","MEDAG","RIKEN cDNA 6330406I15 gene [Source:MGI Symbol;Acc:MGI:1917967]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,4.00934,20.69048,0,0.265137680706767,1,0.691538765376008
"ENSMUSG00000027270","6330527O06Rik","ENSG00000125869","LAMP5","RIKEN cDNA 6330527O06 gene [Source:MGI Symbol;Acc:MGI:1923411]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,6.030426,6.68668,1,0.464466523331748,1,0.550011806372902
"ENSMUSG00000072066","6720489N17Rik",NA,NA,"RIKEN cDNA 6720489N17 gene [Source:MGI Symbol;Acc:MGI:2443901]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,3.074384,17.82478,0,0.0879500016041304,0,0.368411320542923
"ENSMUSG00000020887","A230052G05Rik",NA,NA,"RIKEN cDNA A230052G05 gene [Source:MGI Symbol;Acc:MGI:3045239]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,2.541852,5.384161,1,0.506782583415802,1,0.69474503497962
"ENSMUSG00000050875","A730017C20Rik","ENSG00000186367","MINAR2","RIKEN cDNA A730017C20 gene [Source:MGI Symbol;Acc:MGI:2442934]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,4.991814,14.10018,0,0.126859750368755,0,0.30328670618612
"ENSMUSG00000055010","A830031A19Rik",NA,NA,"RIKEN cDNA A830031A19 gene [Source:MGI Symbol;Acc:MGI:2685508]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,25,2.554106,6.596387,1,0.50194928140559,1,0.866265739534099
"ENSMUSG00000074664","A830092H15Rik",NA,NA,"RIKEN cDNA A830092H15 gene [Source:MGI Symbol;Acc:MGI:3698881]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.314291,7.850712,1,0.429766725605165,1,0.695252413106418
"ENSMUSG00000038112","AW551984","ENSG00000110002","VWA5A","expressed sequence AW551984 [Source:MGI Symbol;Acc:MGI:2143322]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,4.814275,8.024313,1,0.325615954291553,1,0.473766452118206
"ENSMUSG00000017631","Abr","ENSG00000159842","ABR","active BCR-related gene [Source:MGI Symbol;Acc:MGI:107771]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.056653,22.85912,0,0.234542411104485,1,0.699124288466921
"ENSMUSG00000023832","Acat2","ENSG00000120437","ACAT2","acetyl-Coenzyme A acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:87871]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.79529,22.15955,0,0.130678692389893,1,0.605076145376603
"ENSMUSG00000033007","Accn4","ENSG00000072182","ASIC4","amiloride-sensitive cation channel 4, pituitary [Source:MGI Symbol;Acc:MGI:2652846]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,3.250101,5.882867,1,0.674602411824453,1,0.635966233626157
"ENSMUSG00000043587","Acpl2","ENSG00000155893","PXYLP1","acid phosphatase-like 2 [Source:MGI Symbol;Acc:MGI:2442444]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,4.947839,7.320563,1,0.40538638251178,1,0.660413890752808
"ENSMUSG00000068614","Actc1","ENSG00000159251","ACTC1","actin, alpha, cardiac muscle 1 [Source:MGI Symbol;Acc:MGI:87905]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.928685,14.17547,0,0.170222212123493,0,0.319531868778152
"ENSMUSG00000062825","Actg1","ENSG00000184009","ACTG1","actin, gamma, cytoplasmic 1 [Source:MGI Symbol;Acc:MGI:87906]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,3.346204,13.05908,0,0.240686631685176,1,0.856453313904097
"ENSMUSG00000024256","Adcyap1","ENSG00000141433","ADCYAP1","adenylate cyclase activating polypeptide 1 [Source:MGI Symbol;Acc:MGI:105094]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.902149,7.917448,1,0.531763597013845,1,0.712388490921969
"ENSMUSG00000031189","Aff2","ENSG00000155966","AFF2","AF4/FMR2 family, member 2 [Source:MGI Symbol;Acc:MGI:1202294]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,3.013398,20.83024,0,0.229243491359915,1,0.72164936705991
"ENSMUSG00000068122","Agtr2","ENSG00000180772","AGTR2","angiotensin II receptor, type 2 [Source:MGI Symbol;Acc:MGI:87966]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,4.202783,7.821612,0,0.0336050261989215,0,0.222997466585209
"ENSMUSG00000039546","Ajap1","ENSG00000196581","AJAP1","adherens junction associated protein 1 [Source:MGI Symbol;Acc:MGI:2685419]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,2.549725,5.048949,1,0.583899384207752,1,0.695838862504079
"ENSMUSG00000028792","Ak2","ENSG00000004455","AK2","adenylate kinase 2 [Source:MGI Symbol;Acc:MGI:87978]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,25,2.139464,18.60301,0,0.183135906223137,1,0.658586275941069
"ENSMUSG00000021057","Akap5","ENSG00000179841","AKAP5","A kinase (PRKA) anchor protein 5 [Source:MGI Symbol;Acc:MGI:2685104]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,3.033391,22.4467,0,0.197611793005011,1,0.624019290234839
"ENSMUSG00000039158","Akna","ENSG00000106948","AKNA","AT-hook transcription factor [Source:MGI Symbol;Acc:MGI:2140340]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.607633,8.608568,1,0.250130408115449,1,0.65333560358178
"ENSMUSG00000075296","Aldh3b2","ENSG00000132746","ALDH3B2","aldehyde dehydrogenase 3 family, member B2 [Source:MGI Symbol;Acc:MGI:2147613]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,3.090478,6.567105,0,0.136656792294642,0,0.189322143371084
"ENSMUSG00000060244","Alyref2","ENSG00000183684","ALYREF","Aly/REF export factor 2 [Source:MGI Symbol;Acc:MGI:1913144]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.518265,16.13562,0,0.141330051277194,1,0.641622227839477
"ENSMUSG00000068250","Amn1","ENSG00000151743","AMN1","antagonist of mitotic exit network 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2442933]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.015334,22.58404,0,0.179880161425836,1,0.694336356093643
"ENSMUSG00000036977","Anapc10","ENSG00000164162","ANAPC10","anaphase promoting complex subunit 10 [Source:MGI Symbol;Acc:MGI:1916249]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.226771,10.82242,0,0.17876723034308,1,0.750614510587748
"ENSMUSG00000025172","Ankrd2","ENSG00000165887","ANKRD2","ankyrin repeat domain 2 (stretch responsive muscle) [Source:MGI Symbol;Acc:MGI:1861447]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,3.378387,5.547511,0,0.118223724335703,0,0.314168146919531
"ENSMUSG00000044835","Ankrd45","ENSG00000183831","ANKRD45","ankyrin repeat domain 45 [Source:MGI Symbol;Acc:MGI:1921094]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.719262,19.37989,0,0.185102321722277,1,0.459189053074506
"ENSMUSG00000049985","Ankrd55","ENSG00000164512","ANKRD55","ankyrin repeat domain 55 [Source:MGI Symbol;Acc:MGI:1924568]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.697128,11.43061,0,0.150147981893051,0,0.366603862797983
"ENSMUSG00000003033","Ap1m1","ENSG00000072958","AP1M1","adaptor-related protein complex AP-1, mu subunit 1 [Source:MGI Symbol;Acc:MGI:102776]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.10607694247201,19.0260797751029,0,0.160347949125128,1,0.649723923704
"ENSMUSG00000035960","Apex1","ENSG00000100823","APEX1","apurinic/apyrimidinic endonuclease 1 [Source:MGI Symbol;Acc:MGI:88042]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.877407,20.95835,0,0.183519748116172,1,0.740306812110798
"ENSMUSG00000021125","Arg2","ENSG00000081181","ARG2","arginase type II [Source:MGI Symbol;Acc:MGI:1330806]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,3.346662,8.039353,1,0.484929553182449,1,0.65266957173237
"ENSMUSG00000049744","Arhgap15","ENSG00000075884","ARHGAP15","Rho GTPase activating protein 15 [Source:MGI Symbol;Acc:MGI:1923367]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.137892,7.286371,0,0.0989362531651321,0,0.211365717809148
"ENSMUSG00000036882","Arhgap33","ENSG00000004777","ARHGAP33","Rho GTPase activating protein 33 [Source:MGI Symbol;Acc:MGI:2673998]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,3.608651,22.34568,0,0.241917366132708,1,0.756699401683106
"ENSMUSG00000036198","Arhgap36","ENSG00000147256","ARHGAP36","Rho GTPase activating protein 36 [Source:MGI Symbol;Acc:MGI:1922654]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.788087,7.811582,0,0.153961865255745,0,0.316694993099649
"ENSMUSG00000050394","Armcx6","ENSG00000198960","ARMCX6","armadillo repeat containing, X-linked 6 [Source:MGI Symbol;Acc:MGI:2147993]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,25,2.745891,8.316235,0,0.181330052203937,1,0.592051817242315
"ENSMUSG00000015709","Arnt2","ENSG00000172379","ARNT2","aryl hydrocarbon receptor nuclear translocator 2 [Source:MGI Symbol;Acc:MGI:107188]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.220971,20.67778,0,0.221786117230296,1,0.724100867173634
"ENSMUSG00000029465","Arpc3","ENSG00000111229","ARPC3","actin related protein 2/3 complex, subunit 3 [Source:MGI Symbol;Acc:MGI:1928375]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.03078,10.18635,0,0.182399860314325,1,0.654668647734242
"ENSMUSG00000042659","Arrdc4","ENSG00000140450","ARRDC4","arrestin domain containing 4 [Source:MGI Symbol;Acc:MGI:1913662]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.947656,26.60704,0,0.166555723795208,1,0.653980137637382
"ENSMUSG00000070424","Art5","ENSG00000167311","ART5","ADP-ribosyltransferase 5 [Source:MGI Symbol;Acc:MGI:107948]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,2.554711,7.907261,1,0.317776392286792,0,0.357462173791439
"ENSMUSG00000026095","Asnsd1","ENSG00000138381","ASNSD1","asparagine synthetase domain containing 1 [Source:MGI Symbol;Acc:MGI:1917646]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.564581,20.99,0,0.173556134479116,1,0.625385136541945
"ENSMUSG00000045215","Asxl3","ENSG00000141431","ASXL3","additional sex combs like 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:2685175]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.02347,22.86718,1,0.280574663490652,1,0.792145279806249
"ENSMUSG00000024426","Atat1","ENSG00000137343","ATAT1","alpha tubulin acetyltransferase 1 [Source:MGI Symbol;Acc:MGI:1913869]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,3.703812,17.92419,0,0.18421926393088,1,0.653181142071811
"ENSMUSG00000073043","Atoh1","ENSG00000172238","ATOH1","atonal homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:104654]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,5.629729,18.83486,1,0.487328090692464,1,0.867891160024314
"ENSMUSG00000035835","BC005764","ENSG00000129951","PLPPR3","cDNA sequence BC005764 [Source:MGI Symbol;Acc:MGI:2388640]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.138126,10.60286,1,0.332763570020808,1,0.779136335436599
"ENSMUSG00000037847","BC016495","ENSG00000106733","NMRK1","cDNA sequence BC016495 [Source:MGI Symbol;Acc:MGI:2147434]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.860024,14.13366,1,0.242484414616525,1,0.681240652023493
"ENSMUSG00000044361","BC024139",NA,NA,"cDNA sequence BC024139 [Source:MGI Symbol;Acc:MGI:2442591]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,2.6884,7.593531,1,0.261978899480328,0,0.254282791852733
"ENSMUSG00000049946","BC030500",NA,NA,"cDNA sequence BC030500 [Source:MGI Symbol;Acc:MGI:2447770]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.295604,17.45645,0,0.231052491103693,1,0.644131668767195
"ENSMUSG00000026805","Barhl1","ENSG00000125492","BARHL1","BarH-like 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1859288]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.425795,22.702,1,0.552265111230767,1,0.98744829885906
"ENSMUSG00000045763","Basp1","ENSG00000176788","BASP1","brain abundant, membrane attached signal protein 1 [Source:MGI Symbol;Acc:MGI:1917600]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,4.028371,26.8991,1,0.300939837589355,1,0.891721107884385
"ENSMUSG00000030268","Bcat1","ENSG00000060982","BCAT1","branched chain aminotransferase 1, cytosolic [Source:MGI Symbol;Acc:MGI:104861]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.245808,20.30223,0,0.264315333974498,1,0.755349624593952
"ENSMUSG00000048251","Bcl11b","ENSG00000127152","BCL11B","B cell leukemia/lymphoma 11B [Source:MGI Symbol;Acc:MGI:1929913]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,3.718108,8.305159,1,0.57450877143955,1,0.738283949938484
"ENSMUSG00000040867","Begain","ENSG00000183092","BEGAIN","brain-enriched guanylate kinase-associated [Source:MGI Symbol;Acc:MGI:3044626]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,21,2.102289,7.162611,1,0.629047672934099,1,0.650957511719072
"ENSMUSG00000047844","Bex4","ENSG00000102409","BEX4","brain expressed gene 4 [Source:MGI Symbol;Acc:MGI:3606746]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.107878,17.35691,0,0.104698619180257,0,0.436756309138999
"ENSMUSG00000072964","Bhlhb9","ENSG00000198908","GPRASP3","basic helix-loop-helix domain containing, class B9 [Source:MGI Symbol;Acc:MGI:1917487]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,2.017682,22.47971,0,0.201127578586441,1,0.656717365694408
"ENSMUSG00000045493","Bhlhe23","ENSG00000125533","BHLHE23","basic helix-loop-helix family, member e23 [Source:MGI Symbol;Acc:MGI:2153710]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,25,5.860736,5.751928,1,0.550783971033703,1,0.531858606000135
"ENSMUSG00000004446","Bid","ENSG00000015475","BID","BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,2.63490030594562,22.0097075775295,0,0.2052471331823,1,0.639898863653646
"ENSMUSG00000025105","Bnc1","ENSG00000169594","BNC1","basonuclin 1 [Source:MGI Symbol;Acc:MGI:1097164]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,19,8.299713,7.699214,1,0.554263936269236,1,0.625958005653501
"ENSMUSG00000020042","Btbd11","ENSG00000151136","ABTB3","BTB (POZ) domain containing 11 [Source:MGI Symbol;Acc:MGI:1921257]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,25,2.886164,9.198176,0,0.224533700160407,1,0.789770933248818
"ENSMUSG00000020547","Bzw2","ENSG00000136261","BZW2","basic leucine zipper and W2 domains 2 [Source:MGI Symbol;Acc:MGI:1914162]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,28,3.175457,18.71982,0,0.212418491693396,1,0.800036400336427
"ENSMUSG00000052951","C130021I20Rik",NA,NA,NA,"E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,14,5.257989,7.778914,1,0.798546902542907,1,0.69801619383583
"ENSMUSG00000001076","C1ql4","ENSG00000186897","C1QL4","complement component 1, q subcomponent-like 4 [Source:MGI Symbol;Acc:MGI:3579909]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,22,6.370041,5.507238,1,0.641533785298086,1,0.56711971067333
"ENSMUSG00000036377","C530008M17Rik","ENSG00000109265","CRACD","RIKEN cDNA C530008M17 gene [Source:MGI Symbol;Acc:MGI:2444817]","E15","Late","Dynically expressed in granule neuron lineage",">2 log2FC",1,25,2.300045,20.5313,0,0.202328255689572,1,0.769669278575394
"ENSMUSG00000030329","C530028O21Rik","ENSG00000139200","PIANP","RIKEN cDNA C530028O21 gene [Source:MGI Symbol;Acc:MGI:2441908]","E15","Early","Dynically expressed in granule neuron lineage",">2 log2FC",1,8,2.503353,4.768554,1,0.560001040278988,1,0.680373845391162
"ENSMUSG00000028813","CK137956","ENSG00000142698","C1orf94","cDNA sequence CK137956 [Source:MGI Symbol;Acc:MGI:3616080]","E15","Mid","Dynically expressed in granule neuron lineage",">2 log2FC",1,63,3.186933,8.389962,1,0.364033903844987,0,0.375744756707673
