"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Adck3","kinase","atypical kinase required for coenzyme Q10 (ubiquinone) biosynthesis in mitochondria; activates the CoQ biosynthesis complex; regulates electron transport chain function","CoQ biosynthesis intermediates, COQ complex components","mitochondria, inner mitochondrial membrane","cerebellum, skeletal muscle, ubiquitous","Purkinje neurons, cerebellar neurons, muscle cells","mitochondrial OXPHOS, CoQ biosynthesis","cerebellar atrophy; Purkinje neuron degeneration (dark cell degeneration); altered electrophysiology; exercise intolerance; progressive ataxia","viable","cerebellar ataxia, Purkinje neuron degeneration, exercise intolerance","yes (cerebellar Purkinje neuron degeneration and electrophysiological changes in Coq8a-null mice)",NA,"none","COQ8A-ataxia (autosomal recessive cerebellar ataxia type 2, ARCA2; primary CoQ10 deficiency-4)","none known","ADCK3/COQ8A is a mitochondrial atypical kinase essential for coenzyme Q10 biosynthesis whose mutations cause autosomal recessive cerebellar ataxia with progressive Purkinje neuron degeneration."
"Ssfa2","other","unknown; sperm-specific antigen; may function as a scaffold or signaling mediator; upregulated in glioma and prostate cancer and promotes proliferation/invasion when overexpressed","miR-877-5p (regulatory), NA","cytoplasm","sperm, glioma tissue, prostate","spermatocytes, glioma cells, prostate cancer cells",NA,"unknown","unknown",NA,"no","glioma, prostate cancer (functional: promotes proliferation and invasion in cell lines)","oncogene",NA,"none known","SSFA2 is a sperm-specific antigen of unknown molecular function that is upregulated in glioma and prostate cancer, where it promotes cell proliferation and invasion."
"Epb4.1l1","structural protein","links plasma membrane proteins to spectrin-actin cytoskeleton; organizes membrane domains; mediates mechanical stability at the cortical membrane; also regulates MAST3 kinase interactions","spectrin, ankyrin, glycophorin, MAST3, Numb","plasma membrane, cytoskeleton, nucleus (alternative isoforms)","brain, erythrocytes, muscle","neurons, red blood cells","cytoskeletal signaling, MAST3 pathway","growth retardation, feeding difficulties, gastroesophageal reflux (from 20q11.2 deletion including EPB41L1); neural defects","viable","neurodevelopmental delay (from chromosomal deletion context)","no","glioblastoma (bioinformatic association only)","biomarker only","neurodevelopmental delay (20q11.2 deletion syndrome)","none known","EPB41L1/4.1N is a brain-enriched member of the protein 4.1 family that links membrane receptors and ion channels to the spectrin-actin cytoskeleton in neurons, and whose chromosomal deletion contributes to a syndrome with growth retardation and neurodevelopmental delay."
"Tmem56","other","transmembrane protein involved in haem biosynthesis and cell cycle progression during erythropoiesis","haem biosynthesis enzymes (context), NA","plasma membrane, intracellular membranes","erythroid cells, heart","erythroid progenitors, cardiomyocytes","haem biosynthesis, erythropoiesis","impaired erythroid differentiation (knockdown in CD34+ cells causes haem biosynthesis defects and cell cycle arrest)","unknown",NA,"no","AML (bioinformatic association only)","biomarker only",NA,"required for (erythroid differentiation)","TMEM56 is a transmembrane protein abundantly expressed in erythroid cells that is required for haem biosynthesis and cell cycle progression during erythropoiesis."
"Cyr61","secreted factor","matricellular protein secreted into ECM; activates integrins and heparin sulfate proteoglycans to promote cell adhesion, migration, proliferation, angiogenesis, apoptosis resistance, and wound healing","integrins (alpha-v-beta-3, alpha-6-beta-1), heparan sulfate proteoglycans, CD44, TNF receptor","extracellular matrix, plasma membrane","vascular tissue, bone, kidney, skin, brain (astrocytes)","fibroblasts, endothelial cells, osteoblasts, astrocytes, macrophages","YAP/TAZ, TGF-beta, Wnt, NF-kB","bone-specific KO shows reduced bone density, impaired osteogenic differentiation; global KO is embryonic lethal due to placental and cardiovascular defects","embryonic lethal",NA,"yes (expressed in astrocytes; involved in astrocyte-mediated regulation of cortical plasticity)","ovarian cancer, breast cancer (functional context); multiple bioinformatic associations","biomarker only",NA,"promotes (osteoblast differentiation, wound healing, astrocyte function)","CYR61/CCN1 is a secreted matricellular protein that activates integrin signaling to promote angiogenesis, wound healing, and osteogenic differentiation, and whose astrocyte-specific expression contributes to regulation of cortical circuit plasticity."
"Epb4.1l4b","structural protein","links plasma membrane to actin cytoskeleton; regulates apical-basal cell polarity and tight junction integrity; suppresses cell proliferation when expressed in normal epithelium","filamin, NF2/ezrin-radixin-moesin family, CD44","plasma membrane, cortical cytoskeleton","epithelium, placenta, prostate","epithelial cells, prostate cancer cells","Hippo/NF2, cell polarity","altered cell polarity and tight junction organization; increased proliferation in vitro when lost","viable",NA,"no","breast cancer, colorectal cancer, prostate cancer (EPB41L4B/Ehm2 overexpressed in metastatic cells; functional role debated)","tumor suppressor",NA,"none known","EPB41L4B/Ehm2 is a 4.1-superfamily scaffold that maintains apical-basal polarity and suppresses proliferation in epithelial cells, with overexpression observed in metastatic cancer cells where its role as tumor suppressor or pro-metastatic factor remains debated."
"1520402A15Rik","scaffold/adaptor","PDZ domain-containing adaptor related to MYO18A complex; regulates Wnt/PCP signaling and cytoskeletal organization; possible role in gastrulation and muscle integrity","MYO18A, LURAP1, MRCK, PAK2, betaPIX, GIT1, Dishevelled","cytoplasm, plasma membrane","muscle, embryonic tissues","myofibers, epithelial cells","Wnt/PCP, actin cytoskeleton","unknown in mammals; zebrafish orthologs required for muscle integrity and gastrulation","unknown",NA,"no","uveal melanoma (bioinformatic association only)","biomarker only",NA,"none known","1520402A15Rik encodes a putative PDZ-domain scaffold related to the MYO18A/LURAP1/MRCK complex that regulates Wnt/PCP-dependent cytoskeletal organization during gastrulation and muscle morphogenesis."
"Agpat9","enzyme","catalyzes acylation of lysophosphatidic acid to phosphatidic acid (second step of de novo glycerolipid synthesis) in the endoplasmic reticulum; same enzyme as GPAT3","lysophosphatidic acid, acyl-CoA","endoplasmic reticulum membrane","adipose tissue, epidermis, liver","adipocytes, keratinocytes, hepatocytes","lipid biosynthesis, seipin/lipodystrophy pathway, adipogenesis","reduced lipid droplet formation; contributes to lipodystrophy when combined with seipin loss","viable",NA,"no","hepatocellular carcinoma (bioinformatic/metabolic association only)","biomarker only",NA,"promotes (adipocyte differentiation)","AGPAT9/GPAT3 is an endoplasmic reticulum acyltransferase that catalyzes the rate-limiting step in glycerolipid biosynthesis and is highly induced during adipogenesis to drive lipid droplet formation."
"Gm996","other","unknown predicted gene; abstracts are dominated by PAR-3/polarity and C. elegans cell junction papers; may share genomic locus with a cell polarity or junction gene",NA,NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown",NA,"none known","Gm996 is a mouse predicted gene of unknown function whose associated literature concerns cell polarity and junction biology in C. elegans, suggesting possible evolutionary conservation of a cell junction or polarity role."
"2210411K11Rik","other","unknown RIKEN cDNA; no functional data available",NA,NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown",NA,"none known","2210411K11Rik is an uncharacterized RIKEN cDNA with minimal literature and no known molecular function."
"St5","other","unknown function; ""suppression of tumorigenicity 5"" designation; abstracts are entirely unrelated (bacterial typing, sepsis); no functional data on the actual gene product",NA,NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown",NA,"none known","ST5 (suppression of tumorigenicity 5) is a poorly characterized gene that was named for its chromosomal locus on 11p15 but lacks functional characterization, and the available literature does not provide mechanistic insight into its molecular activity."
"AI118078","channel regulator","voltage-sensor domain protein lacking a pore; senses membrane potential in cerebellar granule cells; proposed to regulate voltage-gated channel activity or vesicle fusion via voltage-dependent conformational changes","unknown effectors; possibly interacts with voltage-gated channels","plasma membrane","cerebellum","cerebellar granule cells","voltage sensing, cerebellar signaling","unknown","unknown",NA,"yes (TMEM266/AI118078 is expressed specifically in cerebellar granule cells)","upper tract urothelial carcinoma (bioinformatic only)","biomarker only",NA,"none known","AI118078/TMEM266 is a voltage-sensing protein expressed in cerebellar granule neurons that, despite lacking an ion-conducting pore domain, responds to membrane potential changes and may regulate electrical signaling in the cerebellum."
"Slc24a6","transporter","mitochondrial sodium/calcium exchanger (NCLX-related); mediates Ca2+ efflux from mitochondria in exchange for Na+; regulates mitochondrial calcium homeostasis in neurons; expressed in brain after stroke","Ca2+, Na+","mitochondrial inner membrane","brain, heart","neurons, cardiomyocytes","mitochondrial calcium signaling, neurodegeneration pathway","neuronal mitochondrial calcium overload; metabolic derangement; cognitive decline (inferred from related NCLX studies)","unknown","cognitive decline, mitochondrial calcium overload","no",NA,"none","Alzheimer's disease, ischemic stroke, neuropsychiatric disease","none known","SLC24A6 is a brain-enriched mitochondrial sodium/calcium exchanger that mediates calcium efflux from neuronal mitochondria, and whose disruption contributes to calcium overload and neurodegeneration in ischemia and Alzheimer's disease models."
"Fam5c","secreted factor","secreted myokine that promotes osteoblast differentiation and bone anabolic activity; expressed in skeletal muscle and acts in a muscle-to-bone crosstalk axis; also called BRINP3","BMP receptors (inferred), osteoblast differentiation regulators","secreted, extracellular","skeletal muscle, bone","osteoblasts, muscle cells, neural stem cells","BMP signaling, neural differentiation, bone anabolic pathway","unknown in vivo KO; in vitro knockdown reduces osteoblast differentiation","unknown",NA,"no","osteosarcoma (bioinformatic association only)","biomarker only",NA,"promotes (osteoblast differentiation, neural stem cell differentiation)","FAM5C/BRINP3 is a secreted myokine produced by skeletal muscle that promotes osteoblast differentiation through muscle-bone crosstalk, and is also expressed in neural tissues where it may regulate neural stem cell differentiation."
"A430110N23Rik","other","secreted glycoprotein of the scavenger receptor cysteine-rich (SRCR) superfamily (S5D-SRCRB); binds conserved microbial cell wall components and possibly endogenous proteins; restricted tissue expression","microbial cell wall components, endogenous proteins (unspecified)","secreted, extracellular, plasma membrane","liver, immune tissues","macrophages, liver cells","innate immune signaling","unknown","unknown",NA,"no","hepatocellular carcinoma (bioinformatic association only)","biomarker only",NA,"none known","A430110N23Rik/S5D-SRCRB is a secreted glycoprotein of the SRCR superfamily with restricted tissue expression that binds conserved microbial molecules and may participate in innate immune pattern recognition."
"3632451O06Rik","other","unknown; abstracts describe ARMH4 (armadillo-like helical domain containing 4), an uncharacterized protein that localizes during heart morphogenesis and whose loss accelerates aging-related phenotypes",NA,"intracellular, nucleus (inferred)","heart, broad expression","cardiomyocytes, aging tissues","aging pathways","premature aging phenotypes (early death, organ degeneration) in whole-body Armh4 KO mice","viable (premature death)",NA,"no",NA,"none",NA,"none known","3632451O06Rik likely corresponds to Armh4, an armadillo-domain protein expressed during heart morphogenesis whose loss-of-function in mice accelerates aging-associated organ degeneration and reduces lifespan."
"E330009J07Rik","other","unknown RIKEN cDNA; single abstract is a psychiatric genetics study associating peripheral blood gene expression with psychiatric phenotypes; no functional characterization",NA,NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown","psychiatric phenotypes (expression association)","none known","E330009J07Rik is an uncharacterized RIKEN cDNA whose single abstract reports an association between its peripheral blood expression and psychiatric phenotypes, but provides no mechanistic insight."
"Darc","receptor","atypical chemokine receptor (ACKR1) that binds multiple chemokines without G-protein coupling; acts as chemokine sink/decoy to regulate chemokine gradient; expressed on erythrocytes and endothelium; also serves as Plasmodium vivax invasion receptor","CXCL1, CXCL2, CXCL5, CXCL7, CXCL8, CCL2, CCL5, CCL7, CCL11, CXCL13; Plasmodium vivax Duffy binding protein","plasma membrane, erythrocytes, endothelium","bone marrow, liver, spleen, kidney, lung","erythrocytes, endothelial cells, neutrophils","chemokine signaling, inflammation, ACKR decoy axis","neutropenia (ADAN: ACKR1/DARC-associated neutropenia) in individuals of African descent; impaired chemokine clearance; increased susceptibility to P. vivax malaria","viable",NA,"no","multiple (bioinformatic association in liver fibrosis, adipose tissue, pancreatic cancer)","biomarker only",NA,"none known","DARC/ACKR1 is an atypical chemokine decoy receptor on erythrocytes and endothelium that scavenges multiple inflammatory chemokines without G-protein coupling, and whose loss causes benign neutropenia and increased susceptibility to Plasmodium vivax malaria."
"Fam126b","scaffold/adaptor","component of the PI4KIIIalpha lipid kinase complex (with FAM126A/hyccin, EFR3, TTC7); promotes PI(4)P production at the plasma membrane; paralog of FAM126A/hyccin; synthetic lethal with FAM126A loss in colorectal cancer","FAM126A, PI4KIIIalpha complex, EFR3, TTC7","plasma membrane, endoplasmic reticulum","brain, ubiquitous","oligodendrocytes, epithelial cells, colon cancer cells","PI4P/PI(4,5)P2 signaling, phosphoinositide metabolism","unknown KO phenotype; hypomyelination when FAM126A is lost (related paralog)","unknown","hypomyelination (inferred from FAM126A)","no","colorectal cancer (functional: FAM126B is a specific dependency in FAM126A-low CRC)","tumor suppressor","hypomyelination and congenital cataract (FAM126A mutations; FAM126B by inference)","none known","FAM126B is a PI4KIIIalpha complex scaffold that drives plasma membrane PI(4)P production and is a synthetic lethal vulnerability in colorectal cancers with low FAM126A expression."
"A230050P20Rik","other","unknown RIKEN cDNA; associated literature concerns SHFL (shiftless), an ISG that restricts viral replication, and CC2D1A, a scaffold involved in endolysosomal signaling; no direct functional data on this gene",NA,NA,NA,NA,NA,"unknown","unknown",NA,"no",NA,"unknown",NA,"none known","A230050P20Rik is an uncharacterized RIKEN cDNA whose co-cited literature concerns innate immune restriction of viruses and endolysosomal signaling, but no direct functional characterization of the gene product exists."
"6430573F11Rik","enzyme","likely tRNA methyltransferase; homolog of yeast Trm9 and human ALKBH8; methylates tRNA wobble uridines (mcm5U/mcm5s2U); regulates translation efficiency and synapse formation/function","tRNA wobble uridines, possibly mRNA","cytoplasm, nucleus","brain, neurons","neurons, Drosophila motor neurons","tRNA modification, translational regulation, synaptogenesis","impaired synapse formation and function (in Drosophila); distinct from ubiquitous ALKBH8 paralog","unknown","synaptic defects","no","tumor suppressor activity reported (bioinformatic)","tumor suppressor",NA,"none known","6430573F11Rik/TRMT9B is a tRNA wobble uridine methyltransferase that regulates synaptic transmission by controlling translation efficiency, and acts as a tumor suppressor distinct from its paralog ALKBH8."
"Fam40b","scaffold/adaptor","component of the STRIPAK (striatin-interacting phosphatase and kinase) complex; inhibits MST3/MST4 kinases to modulate actomyosin cortex organization; regulates ESC differentiation, cell proliferation, migration, and cochlear hair cell function","MST3, MST4, STRN3, PP2A, FAM40A, actomyosin complex","cytoplasm, nucleus, plasma membrane","embryonic stem cells, cochlea, brain, heart","embryonic stem cells, cochlear hair cells, cardiomyocytes, neurons","Hippo/STRIPAK, actomyosin, cell fate","unknown in vivo KO; knockdown in ESCs alters differentiation trajectory; cochlear expression suggests hearing role","unknown","hearing loss (suggested by cochlear expression and STRIPAK function)","no","multiple cancers (bioinformatic; STRIP2 reviewed across cancers)","biomarker only",NA,"required for (ESC differentiation, cell fate decisions)","FAM40B/STRIP2 is a STRIPAK complex scaffold that inhibits MST3/MST4 kinases to regulate actomyosin cortex architecture, and is required for proper embryonic stem cell differentiation and cochlear hair cell function."
"4931408A02Rik","other","unknown RIKEN cDNA; possibly related to EVA1C (eva-1 homolog C), a Slit receptor involved in axon guidance; abstracts describe EVA1C expression in brain and its regulation of neuronal autophagy via NAD+ signaling","Slit ligands (inferred from C. elegans eva-1), autophagy machinery","plasma membrane, endosome","brain, Down syndrome critical region (chromosome 21)","neurons","axon guidance, autophagy, NAD+ signaling","unknown KO in mice; C. elegans eva-1 loss causes axon guidance defects","unknown","axon guidance defects (in C. elegans orthologs)","no",NA,"none","Down syndrome (located in critical region)","none known","4931408A02Rik likely encodes EVA1C, a neuronal Slit receptor located in the Down syndrome critical region that participates in axon guidance and whose expression is regulated by NAD+ signaling to modulate neuronal autophagy."
"A2ld1","enzyme","gamma-glutamylamine cyclotransferase (GGACT); converts gamma-glutamylamines (especially gamma-glutamyl-epsilon-lysine from transglutaminase cross-linked proteins) to free amines and 5-oxoproline; recycles transglutaminase cross-links","gamma-glutamyl-epsilon-lysine, gamma-glutamylamines","cytoplasm","ubiquitous (sperm, kidney, liver)","spermatozoa, renal tubular cells","transglutaminase/cross-link recycling pathway","unknown in vivo","unknown",NA,"no",NA,"none",NA,"none known","A2LD1/GGACT is a cytosolic gamma-glutamylamine cyclotransferase that degrades transglutaminase-derived cross-links by converting gamma-glutamylamines to 5-oxoproline, thereby recycling covalently cross-linked protein degradation products."
"3110082D06Rik","other","unknown RIKEN cDNA; literature context suggests proximity to PTCHD4 (PTCH53), a p53-target Hedgehog pathway repressor homologous to PTCH1; no direct characterization of this gene",NA,NA,NA,NA,"Hedgehog signaling (inferred from genomic neighbor PTCHD4)","unknown","unknown",NA,"no",NA,"unknown",NA,"none known","3110082D06Rik is an uncharacterized RIKEN cDNA located near the Hedgehog pathway repressor PTCHD4/PTCH53, but has no direct functional characterization."
"Fam63b","ubiquitin ligase","ubiquitinates substrate proteins",NA,NA,"breast tissue",NA,"ubiquitin-proteasome pathway, cell cycle",NA,"unknown",NA,NA,"breast cancer","biomarker only","schizophrenia (methylation association), Alzheimer's disease (methylation association)",NA,"FAM63B (also known as MINDY2) is a deubiquitinase/ubiquitin ligase family member identified in methylation studies of psychiatric disease and in bioinformatic cancer screens, but lacks direct functional characterization in most abstracts."
"Fam159b","scaffold/adaptor","scaffolds signaling complexes in neuroendocrine cells",NA,"membrane (likely)","pancreatic islets, bronchopulmonary and GI neuroendocrine cells, pancreas","neuroendocrine cells, beta cells",NA,NA,"unknown",NA,NA,"neuroendocrine tumors","biomarker only",NA,"expressed during beta cell maturation","FAM159B is a largely uncharacterized adaptor protein with prominent neuroendocrine expression, implicated as a marker of pancreatic beta cell maturation and expressed in neuroendocrine tumors."
"1110032A04Rik","other","regulatory small subunit of serine palmitoyltransferase (SPTssb/ORMDL-related)","SPTLC1, SPTLC2 (serine palmitoyltransferase complex)","ER membrane","skin (stratum corneum), broadly expressed",NA,"sphingolipid biosynthesis pathway","altered sphingolipid chain-length composition","unknown",NA,NA,"prostate cancer (ceramide-related functional study)","biomarker only",NA,NA,"This gene co-occurs in abstracts with SPTLC1 and the SPT complex, suggesting it may be a small subunit modulating sphingolipid long-chain base chain length; direct functional data are limited."
"Chi3l7","enzyme","hydrolyzes chitin or chitin-like substrates (putative chitinase)","chitin (putative)","secreted/extracellular (predicted)",NA,NA,NA,NA,"unknown",NA,NA,NA,"none",NA,NA,"Chi3l7 is a predicted chitinase-family member with no direct functional characterization in the available abstracts; all co-appearing abstracts relate to unrelated topics (chromatin organization, chia seeds, T cell differentiation) with no evidence of a direct role for Chi3l7."
"D3Bwg0562e","other","modulates lysophosphatidic acid (LPA) signaling at synapses; regulates cortical excitatory transmission","LPA (lysophosphatidic acid)","postsynaptic density, plasma membrane","brain (cortex, cerebellum)","glutamatergic neurons","LPA signaling, glutamatergic neurotransmission","homozygous deficiency causes juvenile epilepsy in mice","viable (juvenile epilepsy)","epilepsy, seizures","cortical/synaptic evidence; expressed in brain","gastric cancer (bioinformatic association)","biomarker only","intellectual disability, autism spectrum disorder, epilepsy","role in neuronal plasticity","D3Bwg0562e encodes PLPPR4 (PRG-1), a neuron-specific postsynaptic membrane protein that attenuates LPA signaling at glutamatergic synapses; loss causes juvenile epilepsy in mice and de novo variants cause intellectual disability or ASD in humans."
"6430704M03Rik","channel regulator","auxiliary subunit of AMPA receptors regulating their assembly and function","AMPA receptor subunits (GluA1-4), ABHD6","ER, plasma membrane","brain (cerebellum and motor regions broadly)","neurons (cerebellar, cortical)","AMPA receptor-mediated excitatory neurotransmission","loss causes impaired AMPAR synaptic transmission and movement disorder (choreoathetosis), epileptic encephalopathy","postnatal lethal","epileptic encephalopathy, choreoathetosis, cognitive deficits","highly expressed in cerebellum; cerebellar Purkinje neuron circuits affected",NA,"none","epileptic encephalopathy (DEE37), choreoathetosis",NA,"6430704M03Rik encodes FRRS1L, an AMPAR auxiliary subunit critical for receptor assembly in the ER; biallelic loss-of-function mutations cause early infantile epileptic encephalopathy with choreoathetosis (DEE37) in humans and the protein is highly expressed in the cerebellum."
